Model,Samples,SHD
PC,16,31.0
ISD-CP,16,31.0
PC,16,31.0
ISD-CP,16,32.0
PC,16,31.0
ISD-CP,16,31.0
PC,16,31.0
ISD-CP,16,32.0
PC,16,31.0
ISD-CP,16,32.0
PC,32,31.0
ISD-CP,32,33.0
PC,32,31.0
ISD-CP,32,34.0
PC,32,31.0
ISD-CP,32,34.0
PC,32,31.0
ISD-CP,32,34.0
PC,32,31.0
ISD-CP,32,34.0
PC,64,31.0
ISD-CP,64,33.0
PC,64,31.0
ISD-CP,64,33.0
PC,64,31.0
ISD-CP,64,34.0
PC,64,31.0
ISD-CP,64,32.0
PC,64,31.0
ISD-CP,64,33.0
PC,128,31.0
ISD-CP,128,32.0
PC,128,31.0
ISD-CP,128,31.0
PC,128,31.0
ISD-CP,128,32.0
PC,128,31.0
ISD-CP,128,32.0
PC,128,31.0
ISD-CP,128,32.0
PC,200,31.0
ISD-CP,200,32.0
PC,200,31.0
ISD-CP,200,33.0
PC,200,31.0
ISD-CP,200,33.0
PC,200,31.0
ISD-CP,200,32.0
PC,200,31.0
ISD-CP,200,32.0
