Method,Value,SHD
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,113.0
Budgeted,120.0,131.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,127.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,131.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,127.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,127.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,113.0
Budgeted,120.0,131.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,111.0
Budgeted,120.0,127.0
Budgeted,160.0,161.0
Threshold 1.33,1.33,32.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,87.0
Budgeted,80.0,99.0
Budgeted,96.0,111.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,101.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
Threshold 1.33,1.33,33.0
Budgeted,40.0,63.0
Budgeted,64.0,85.0
Budgeted,80.0,99.0
Budgeted,96.0,113.0
Budgeted,120.0,129.0
Budgeted,160.0,159.0
